L_{W1931},L_{x1931},L_{y1931},L_{z1931},L_{I1931}
360,0.0001299,0.000003917,0.0006061,46.6383
361,0.000145847,0.000004393581,0.0006808792,47.1834
362,0.0001638021,0.000004929604,0.0007651456,47.7285
363,0.0001840037,0.000005532136,0.0008600124,48.2735
364,0.0002066902,0.000006208245,0.0009665928,48.8186
365,0.0002321,0.000006965,0.001086,49.3637
366,0.000260728,0.000007813219,0.001220586,49.9088
367,0.000293075,0.000008767336,0.001372729,50.4539
368,0.000329388,0.000009839844,0.001543579,50.9989
369,0.000369914,0.00001104323,0.001734286,51.544
370,0.0004149,0.00001239,0.001946,52.0891
371,0.0004641587,0.00001388641,0.002177777,51.8777
372,0.000518986,0.00001555728,0.002435809,51.6664
373,0.000581854,0.00001744296,0.002731953,51.455
374,0.0006552347,0.00001958375,0.003078064,51.2437
375,0.0007416,0.00002202,0.003486,51.0323
376,0.0008450296,0.00002483965,0.003975227,50.8209
377,0.0009645268,0.00002804126,0.00454088,50.6096
378,0.001094949,0.00003153104,0.00515832,50.3982
379,0.001231154,0.00003521521,0.005802907,50.1869
380,0.001368,0.000039,0.006450001,49.9755
381,0.00150205,0.0000428264,0.007083216,50.4428
382,0.001642328,0.0000469146,0.007745488,50.91
383,0.001802382,0.0000515896,0.008501152,51.3773
384,0.001995757,0.0000571764,0.009414544,51.8446
385,0.002236,0.000064,0.01054999,52.3118
386,0.002535385,0.00007234421,0.0119658,52.7791
387,0.002892603,0.00008221224,0.01365587,53.2464
388,0.003300829,0.00009350816,0.01558805,53.7137
389,0.003753236,0.0001061361,0.01773015,54.1809
390,0.004243,0.00012,0.02005001,54.6482
391,0.004762389,0.000134984,0.02251136,57.4589
392,0.005330048,0.000151492,0.02520288,60.2695
393,0.005978712,0.000170208,0.02827972,63.0802
394,0.006741117,0.000191816,0.03189704,65.8909
395,0.00765,0.000217,0.03621,68.7015
396,0.008751373,0.0002469067,0.04143771,71.5122
397,0.01002888,0.00028124,0.04750372,74.3229
398,0.0114217,0.00031852,0.05411988,77.1336
399,0.01286901,0.0003572667,0.06099803,79.9442
400,0.01431,0.000396,0.06785001,82.7549
401,0.01570443,0.0004337147,0.07448632,83.628
402,0.01714744,0.000473024,0.08136156,84.5011
403,0.01878122,0.000517876,0.08915364,85.3742
404,0.02074801,0.0005722187,0.09854048,86.2473
405,0.02319,0.00064,0.1102,87.1204
406,0.02620736,0.00072456,0.1246133,87.9936
407,0.02978248,0.0008255,0.1417017,88.8667
408,0.03388092,0.00094116,0.1613035,89.7398
409,0.03846824,0.00106988,0.1832568,90.6129
410,0.04351,0.00121,0.2074,91.486
411,0.0489956,0.001362091,0.2336921,91.6806
412,0.0550226,0.001530752,0.2626114,91.8752
413,0.0617188,0.001720368,0.2947746,92.0697
414,0.069212,0.001935323,0.3307985,92.2643
415,0.07763,0.00218,0.3713,92.4589
416,0.08695811,0.0024548,0.4162091,92.6535
417,0.09717672,0.002764,0.4654642,92.8481
418,0.1084063,0.0031178,0.5196948,93.0426
419,0.1207672,0.0035264,0.5795303,93.2372
420,0.13438,0.004,0.6456,93.4318
421,0.1493582,0.00454624,0.7184838,92.7568
422,0.1653957,0.00515932,0.7967133,92.0819
423,0.1819831,0.00582928,0.8778459,91.4069
424,0.198611,0.00654616,0.959439,90.732
425,0.21477,0.0073,1.0390501,90.057
426,0.2301868,0.008086507,1.1153673,89.3821
427,0.2448797,0.00890872,1.1884971,88.7071
428,0.2587773,0.00976768,1.2581233,88.0322
429,0.2718079,0.01066443,1.3239296,87.3572
430,0.2839,0.0116,1.3856,86.6823
431,0.2949438,0.01257317,1.4426352,88.5006
432,0.3048965,0.01358272,1.4948035,90.3188
433,0.3137873,0.01462968,1.5421903,92.1371
434,0.3216454,0.01571509,1.5848807,93.9554
435,0.3285,0.01684,1.62296,95.7736
436,0.3343513,0.01800736,1.6564048,97.5919
437,0.3392101,0.01921448,1.6852959,99.4102
438,0.3431213,0.02045392,1.7098745,101.228
439,0.3461296,0.02171824,1.7303821,103.047
440,0.34828,0.023,1.74706,104.865
441,0.3495999,0.02429461,1.7600446,106.079
442,0.3501474,0.02561024,1.7696233,107.294
443,0.350013,0.02695857,1.7762637,108.508
444,0.349287,0.02835125,1.7804334,109.722
445,0.34806,0.0298,1.7826,110.936
446,0.3463733,0.03131083,1.7829682,112.151
447,0.3442624,0.03288368,1.7816998,113.365
448,0.3418088,0.03452112,1.7791982,114.579
449,0.3390941,0.03622571,1.7758671,115.794
450,0.3362,0.038,1.77211,117.008
451,0.3331977,0.03984667,1.7682589,117.088
452,0.3300411,0.041768,1.764039,117.169
453,0.3266357,0.043766,1.7589438,117.249
454,0.3228868,0.04584267,1.7524663,117.33
455,0.3187,0.048,1.7441,117.41
456,0.3140251,0.05024368,1.7335595,117.49
457,0.308884,0.05257304,1.7208581,117.571
458,0.3032904,0.05498056,1.7059369,117.651
459,0.2972579,0.05745872,1.6887372,117.732
460,0.2908,0.06,1.6692,117.812
461,0.2839701,0.06260197,1.6475287,117.517
462,0.2767214,0.06527752,1.6234127,117.222
463,0.2689178,0.06804208,1.5960223,116.927
464,0.2604227,0.07091109,1.564528,116.632
465,0.2511,0.0739,1.5281,116.336
466,0.2408475,0.077016,1.4861114,116.041
467,0.2298512,0.0802664,1.4395215,115.746
468,0.2184072,0.0836668,1.3898799,115.451
469,0.2068115,0.0872328,1.3387362,115.156
470,0.19536,0.09098,1.28764,114.861
471,0.1842136,0.09491755,1.2374223,114.967
472,0.1733273,0.09904584,1.1878243,115.073
473,0.1626881,0.1033674,1.1387611,115.18
474,0.1522833,0.1078846,1.090148,115.286
475,0.1421,0.1126,1.0419,115.392
476,0.1321786,0.117532,0.9941976,115.498
477,0.1225696,0.1226744,0.9473473,115.604
478,0.1132752,0.1279928,0.9014531,115.711
479,0.1042979,0.1334528,0.8566193,115.817
480,0.09564,0.13902,0.8129501,115.923
481,0.08729955,0.1446764,0.7705173,115.212
482,0.07930804,0.1504693,0.7294448,114.501
483,0.07171776,0.1564619,0.6899136,113.789
484,0.06458099,0.1627177,0.6521049,113.078
485,0.05795001,0.1693,0.6162,112.367
486,0.05186211,0.1762431,0.5823286,111.656
487,0.04628152,0.1835581,0.5504162,110.945
488,0.04115088,0.1912735,0.5203376,110.233
489,0.03641283,0.199418,0.4919673,109.522
490,0.03201,0.20802,0.46518,108.811
491,0.0279172,0.2171199,0.4399246,108.865
492,0.0241444,0.2267345,0.4161836,108.92
493,0.020687,0.2368571,0.3938822,108.974
494,0.0175404,0.2474812,0.3729459,109.028
495,0.0147,0.2586,0.3533,109.082
496,0.01216179,0.2701849,0.3348578,109.137
497,0.00991996,0.2822939,0.3175521,109.191
498,0.00796724,0.2950505,0.3013375,109.245
499,0.006296346,0.308578,0.2861686,109.3
500,0.0049,0.323,0.272,109.354
501,0.003777173,0.3384021,0.2588171,109.199
502,0.00294532,0.3546858,0.2464838,109.044
503,0.00242488,0.3716986,0.2347718,108.888
504,0.002236293,0.3892875,0.2234533,108.733
505,0.0024,0.4073,0.2123,108.578
506,0.00292552,0.4256299,0.2011692,108.423
507,0.00383656,0.4443096,0.1901196,108.268
508,0.00517484,0.4633944,0.1792254,108.112
509,0.00698208,0.4829395,0.1685608,107.957
510,0.0093,0.503,0.1582,107.802
511,0.01214949,0.5235693,0.1481383,107.501
512,0.01553588,0.544512,0.1383758,107.2
513,0.01947752,0.56569,0.1289942,106.898
514,0.02399277,0.5869653,0.1200751,106.597
515,0.0291,0.6082,0.1117,106.296
516,0.03481485,0.6293456,0.1039048,105.995
517,0.04112016,0.6503068,0.09666748,105.694
518,0.04798504,0.6708752,0.08998272,105.392
519,0.05537861,0.6908424,0.08384531,105.091
520,0.06327,0.71,0.07824999,104.79
521,0.07163501,0.7281852,0.07320899,105.08
522,0.08046224,0.7454636,0.06867816,105.37
523,0.08973996,0.7619694,0.06456784,105.66
524,0.09945645,0.7778368,0.06078835,105.95
525,0.1096,0.7932,0.05725001,106.239
526,0.1201674,0.8081104,0.05390435,106.529
527,0.1311145,0.8224962,0.05074664,106.819
528,0.1423679,0.8363068,0.04775276,107.109
529,0.1538542,0.8494916,0.04489859,107.399
530,0.1655,0.862,0.04216,107.689
531,0.1772571,0.8738108,0.03950728,107.361
532,0.18914,0.8849624,0.03693564,107.032
533,0.2011694,0.8954936,0.03445836,106.704
534,0.2133658,0.9054432,0.03208872,106.375
535,0.2257499,0.9148501,0.02984,106.047
536,0.2383209,0.9237348,0.02771181,105.719
537,0.2510668,0.9320924,0.02569444,105.39
538,0.2639922,0.9399226,0.02378716,105.062
539,0.2771017,0.9472252,0.02198925,104.733
540,0.2904,0.954,0.0203,104.405
541,0.3038912,0.9602561,0.01871805,104.369
542,0.3175726,0.9660074,0.01724036,104.333
543,0.3314384,0.9712606,0.01586364,104.297
544,0.3454828,0.9760225,0.01458461,104.261
545,0.3597,0.9803,0.0134,104.225
546,0.3740839,0.9840924,0.01230723,104.19
547,0.3886396,0.9874182,0.01130188,104.154
548,0.4033784,0.9903128,0.01037792,104.118
549,0.4183115,0.9928116,0.009529306,104.082
