\theta,s_clear,s_coast,s_turbid,p_clear,p_coast,p_turbid,p_avg
0.100,53.180,653.300,3262.000,1437.000,2983.000,1788.000,1772.000
0.126,40.420,457.700,2397.000,1092.000,2090.000,1314.000,1299.000
0.158,30.730,320.600,1757.000,830.500,1464.000,963.300,952.900
0.200,23.740,225.200,1275.000,641.600,1028.000,699.000,701.100
0.251,18.140,157.900,926.000,490.300,721.000,507.700,515.100
0.316,13.600,110.400,676.400,367.600,504.100,370.800,377.400
0.398,9.954,77.310,502.700,269.000,353.000,275.600,277.100
0.501,7.179,53.710,370.500,194.000,245.300,203.100,201.800
0.631,5.110,36.750,267.600,138.100,167.800,146.700,144.800
0.794,3.591,24.810,189.700,97.050,113.300,104.000,102.500
1.000,2.498,16.620,132.900,67.510,75.890,72.860,71.810
1.259,1.719,11.060,91.910,46.460,50.500,50.390,49.720
1.585,1.171,7.306,62.800,31.650,33.360,34.430,34.050
1.995,0.7758,4.751,41.710,20.970,21.690,22.870,22.880
2.512,0.5087,3.067,27.370,13.750,14.000,15.010,15.210
3.162,0.3340,1.977,17.930,9.027,9.027,9.830,10.040
3.981,0.2196,1.273,11.720,5.935,5.813,6.425,6.598
5.012,0.1446,0.8183,7.655,3.908,3.737,4.197,4.307
6.310,0.09522,0.5285,5.039,2.574,2.413,2.763,2.815
7.943,0.06282,0.3402,3.302,1.698,1.553,1.810,1.824
10.000,0.04162,0.2155,2.111,1.125,0.9840,1.157,1.156
15.000,0.02038,0.09283,0.9041,0.5508,0.4239,0.4957,0.4907
20.000,0.01099,0.04427,0.4452,0.2970,0.2021,0.2441,0.2451
25.000,0.006166,0.02390,0.2734,0.1666,0.1091,0.1499,0.1476
30.000,0.003888,0.01445,0.1613,0.1051,0.06598,0.08843,0.08633
35.000,0.002680,0.009063,0.1109,0.07243,0.04138,0.06080,0.05948
40.000,0.001899,0.006014,0.07913,0.05132,0.02746,0.04338,0.04222
45.000,0.001372,0.004144,0.05858,0.03708,0.01892,0.03212,0.03076
50.000,0.001020,0.002993,0.04388,0.02757,0.01367,0.02406,0.02282
55.000,0.0007683,0.002253,0.03288,0.02076,0.01029,0.01803,0.01704
60.000,0.0006028,0.001737,0.02548,0.01629,0.007932,0.01397,0.01316
65.000,0.0004883,0.001369,0.02041,0.01320,0.006251,0.01119,0.01049
70.000,0.0004069,0.001094,0.01655,0.01100,0.004995,0.009073,0.008512
75.000,0.0003457,0.0008782,0.01345,0.009343,0.004010,0.007374,0.006996
80.000,0.0003019,0.0007238,0.01124,0.008159,0.003305,0.006162,0.005859
85.000,0.0002681,0.0006036,0.009637,0.007246,0.002756,0.005283,0.004967
90.000,0.0002459,0.0005241,0.008411,0.006646,0.002393,0.004611,0.004305
95.000,0.0002315,0.0004703,0.007396,0.006257,0.002147,0.004055,0.003792
100.000,0.0002239,0.0004363,0.006694,0.006051,0.001992,0.003670,0.003414
105.000,0.0002225,0.0004189,0.006220,0.006014,0.001913,0.003410,0.003125
110.000,0.0002239,0.0004073,0.005891,0.006051,0.001860,0.003230,0.002920
115.000,0.0002265,0.0003994,0.005729,0.006122,0.001824,0.003141,0.002805
120.000,0.0002339,0.0003972,0.005549,0.006322,0.001814,0.003042,0.002693
125.000,0.0002505,0.0003984,0.005343,0.006770,0.001819,0.002929,0.002579
130.000,0.0002629,0.0004071,0.005154,0.007105,0.001859,0.002826,0.002483
135.000,0.0002662,0.0004219,0.004967,0.007195,0.001926,0.002723,0.002383
140.000,0.0002749,0.0004458,0.004822,0.007430,0.002036,0.002644,0.002336
145.000,0.0002896,0.0004775,0.004635,0.007827,0.002180,0.002541,0.002320
150.000,0.0003088,0.0005232,0.004634,0.008346,0.002389,0.002541,0.002371
155.000,0.0003304,0.0005824,0.004900,0.008930,0.002659,0.002686,0.002513
160.000,0.0003627,0.0006665,0.005142,0.009803,0.003043,0.002819,0.002669
165.000,0.0004073,0.0007823,0.005359,0.01101,0.003572,0.002938,0.002843
170.000,0.0004671,0.0009393,0.005550,0.01262,0.004289,0.003043,0.003039
175.000,0.0004845,0.0009847,0.005618,0.01309,0.004496,0.003080,0.003101
180.000,0.0005019,0.001030,0.005686,0.01356,0.004703,0.003117,0.003163
